93294 196880
12327 58463 57
12319 12360 33
12360 12319 33
12117 12131 69
12131 12117 69
13095 13274 87
13274 13320 31
13274 13095 87
13320 13274 31
12084 30016 58
30016 12084 58
13331 42425 34
42425 13345 70
42425 13331 34
13345 42425 70
13575 13585 104
13585 40412 3
40412 13593 55
13593 13598 60
13598 13605 62
13605 13613 70
13585 13575 104
40412 13585 3
13593 40412 55
13598 13593 60
13605 13598 62
13613 13605 70
13206 13313 52
13313 13345 10
13345 13451 55
13451 13474 10
13474 13585 64
13313 13206 52
13345 13313 10
13451 13345 55
13474 13451 10
13585 13474 64
13371 13459 47
13459 13593 73
13459 13371 47
13593 13459 73
13370 36264 37
36264 13598 83
36264 13370 37
13598 36264 83
12254 12248 97
12248 12258 7
12258 12271 13
12271 18253 160
18253 12495 23
12248 12254 97
12258 12248 7
12271 12258 13
18253 12271 160
12495 18253 23
12411 22227 34
22227 42430 22
42430 58489 5
58489 12501 36
22227 12411 34
42430 22227 22
58489 42430 5
12501 58489 36
12417 22226 35
22226 58453 22
58453 58452 4
58452 12503 37
22226 12417 35
58453 22226 22
58452 58453 4
12503 58452 37
12408 12425 21
12425 12431 4
12431 22228 24
22228 58448 26
58448 58447 5
58447 12510 36
12425 12408 21
12431 12425 4
22228 12431 24
58448 22228 26
58447 58448 5
12510 58447 36
12423 58451 31
58451 22225 3
22225 58446 23
58446 58445 4
58445 12507 36
58451 12423 31
22225 58451 3
58446 22225 23
58445 58446 4
12507 58445 36
12495 53402 16
53402 12535 10
12535 72068 3
72068 12548 3
12548 12551 98
53402 12495 16
12535 53402 10
72068 12535 3
12548 72068 3
12551 12548 98
12555 63212 16
63212 25591 3
25591 19596 7
19596 49149 7
12794 12796 41
12796 12830 17
12830 24633 32
12796 12794 41
12830 12796 17
24633 12830 32
12820 12848 30
12848 12846 27
12848 12820 30
12846 12848 27
12845 79233 77
79233 12851 89
79233 12845 77
12851 79233 89
12787 12846 28
12846 12875 22
12846 12787 28
12875 12846 22
12767 12870 73
12870 12767 73
12323 88936 8
88936 12408 53
88936 12323 8
12408 88936 53
12366 12374 47
12374 12366 47
12327 57239 37
57239 12371 2
57239 12327 37
12371 57239 2
12360 12363 55
12363 12360 55
12254 12363 84
12363 12254 84
11880 58467 16
58467 12012 58
12012 58470 14
58470 12077 28
12077 12117 31
12117 58472 15
58472 18276 4
18276 12183 34
12183 12215 18
12215 58473 17
58473 12323 58
58467 11880 16
12012 58467 58
58470 12012 14
12077 58470 28
12117 12077 31
58472 12117 15
18276 58472 4
12183 18276 34
12215 12183 18
58473 12215 17
12323 58473 58
12012 12022 71
12022 12012 71
42471 57377 13
57377 57376 31
57376 12039 13
12039 42471 32
42471 12042 38
57377 42471 13
57376 57377 31
12039 57376 13
42471 12039 32
12042 42471 38
73550 12703 47
12703 12696 6
12696 12695 10
12695 12700 4
12700 12758 50
12703 73550 47
12696 12703 6
12695 12696 10
12700 12695 4
12758 12700 50
11405 11425 12
11425 36610 39
36610 59489 12
59489 11527 32
11527 36611 6
36611 59354 12
59354 59454 50
59454 11629 33
11629 36613 10
36613 59429 8
59429 11687 40
11687 11713 11
11713 11743 10
11743 59344 7
59344 59343 30
59343 11816 18
11816 59340 22
59340 11890 31
11890 11912 10
11912 59339 29
59339 36114 1
36114 36117 28
36117 59336 10
59336 36119 18
36119 12064 11
12064 36116 16
36116 59335 24
59335 59301 4
59301 12140 7
12140 59332 29
59332 12213 30
12213 12232 6
12232 59331 33
59331 59328 40
59328 59304 9
59304 12366 23
12366 24646 18
24646 12420 10
12420 59327 34
59327 12527 75
11425 11405 12
36610 11425 39
59489 36610 12
11527 59489 32
36611 11527 6
59354 36611 12
59454 59354 50
11629 59454 33
36613 11629 10
59429 36613 8
11687 59429 40
11713 11687 11
11743 11713 10
59344 11743 7
59343 59344 30
11816 59343 18
59340 11816 22
11890 59340 31
11912 11890 10
59339 11912 29
36114 59339 1
36117 36114 28
59336 36117 10
36119 59336 18
12064 36119 11
36116 12064 16
59335 36116 24
59301 59335 4
12140 59301 7
59332 12140 29
12213 59332 30
12232 12213 6
59331 12232 33
59328 59331 40
59304 59328 9
12366 59304 23
24646 12366 18
12420 24646 10
59327 12420 34
12527 59327 75
12403 59326 33
59326 12515 72
59326 12403 33
12515 59326 72
12363 58672 14
58672 58667 18
58667 58666 45
58666 58663 18
58663 12551 54
58672 12363 14
58667 58672 18
58666 58667 45
58663 58666 18
12551 58663 54
12551 12555 85
12555 12551 85
12405 58673 5
58673 42433 28
42433 58675 30
58675 28986 49
28986 12555 16
58673 12405 5
42433 58673 28
58675 42433 30
28986 58675 49
12555 28986 16
12178 58654 52
58654 58651 15
58651 12183 54
58654 12178 52
58651 58654 15
12183 58651 54
12177 12193 26
12193 12177 26
87385 12091 8
12091 12136 25
12136 58658 22
58658 12193 33
12091 87385 8
12136 12091 25
58658 12136 22
12193 58658 33
12193 12210 10
12210 12193 10
13408 13401 65
13401 13402 21
13402 13403 15
13403 13399 19
13399 13422 6
13422 13613 105
13613 13748 64
13401 13408 65
13402 13401 21
13403 13402 15
13399 13403 19
13422 13399 6
13613 13422 105
13748 13613 64
13397 13404 94
13404 13397 94
28857 57375 22
57375 28856 6
28856 12243 3
57375 28857 22
28856 57375 6
12243 28856 3
12254 12257 47
12257 12254 47
12177 12201 27
12201 87384 9
87384 12231 9
12231 87383 11
87383 12257 7
12257 12264 9
12264 12284 12
12284 12382 77
12382 12405 15
12201 12177 27
87384 12201 9
12231 87384 9
87383 12231 11
12257 87383 7
12264 12257 9
12284 12264 12
12382 12284 77
12405 12382 15
12036 12063 38
12063 83530 8
83530 12067 8
12063 12036 38
83530 12063 8
12067 83530 8
12067 12069 48
12069 12067 48
11889 11911 14
11911 58662 34
58662 58659 16
58659 12069 51
11911 11889 14
58662 11911 34
58659 58662 16
12069 58659 51
12064 12070 50
12070 12064 50
11897 59393 16
59393 36118 12
36118 11973 28
11973 59395 12
59395 83609 4
83609 36115 12
36115 12071 24
12071 36113 4
36113 12121 27
12121 36122 4
36122 12130 2
12130 12132 5
12132 59303 27
59303 12140 40
59393 11897 16
36118 59393 12
11973 36118 28
59395 11973 12
83609 59395 4
36115 83609 12
12071 36115 24
36113 12071 4
12121 36113 27
36122 12121 4
12130 36122 2
12132 12130 5
59303 12132 27
12140 59303 40
12693 12767 59
12767 12693 59
12740 12748 168
12748 12740 168
12605 25590 7
25590 63213 7
63213 49144 16
11893 11905 74
11905 11893 74
11703 42442 33
42442 42441 4
42441 42444 54
42444 42435 4
42435 11905 29
42442 11703 33
42441 42442 4
42444 42441 54
42435 42444 4
11905 42435 29
11597 11598 25
11598 11597 25
11521 11602 79
11602 11521 79
11602 42538 12
42538 11603 45
42538 11602 12
11603 42538 45
11526 11603 77
11603 11526 77
11566 18252 61
18252 11566 61
11603 42537 11
42537 11633 15
42537 11603 11
11633 42537 15
11597 42527 12
42527 43335 0
43335 11634 20
42527 11597 12
43335 42527 0
11634 43335 20
11531 53397 34
53397 11636 68
53397 11531 34
11636 53397 68
11633 53390 15
53390 11636 44
53390 11633 15
11636 53390 44
11636 53383 7
53383 11638 23
53383 11636 7
11638 53383 23
11374 11440 38
11440 11546 93
11546 80093 10
80093 46522 68
46522 46503 2
46503 46505 2
46505 46521 3
46521 46511 2
46511 46520 3
46520 46519 3
46519 46504 3
46504 11639 3
11905 11913 24
11913 11958 63
11913 11905 24
11958 11913 63
11886 45636 4
45636 11901 4
11901 45635 54
45636 11886 4
11901 45636 4
45635 11901 54
11546 11550 14
11550 11546 14
11502 11566 50
11566 11502 50
11515 11569 51
11569 11515 51
11617 59469 7
59469 59452 55
59452 36110 4
36110 11629 55
59469 11617 7
59452 59469 55
36110 59452 4
11629 36110 55
11602 11619 18
11619 42539 4
42539 11632 4
11632 11637 4
11637 11634 56
11619 11602 18
42539 11619 4
11632 42539 4
11637 11632 4
11634 11637 56
11652 59439 24
59439 11617 9
11617 80092 60
80092 11550 10
11550 11509 29
11509 46500 64
11652 46510 3
46510 46524 3
46524 46525 4
46525 46509 3
46509 46523 4
46523 11639 15
11569 27155 59
27155 27157 30
27157 11702 32
27155 11569 59
27157 27155 30
11702 27157 32
11520 11526 52
11526 11520 52
11525 11526 6
11526 11525 6
11687 88830 16
88830 11704 56
88830 11687 16
11704 88830 56
11525 11531 57
11531 11525 57
11633 53386 27
53386 42534 10
42534 11711 32
53386 11633 27
42534 53386 10
11711 42534 32
11566 11569 64
11569 11566 64
11516 42528 71
42528 11597 5
42528 11516 71
11597 42528 5
11702 11701 60
11701 85726 5
85726 27654 5
27654 11799 53
11701 11702 60
85726 11701 5
27654 85726 5
11799 27654 53
36112 59411 37
59411 11816 41
59411 36112 37
11816 59411 41
11502 52164 38
52164 11515 28
52164 11502 38
11515 52164 28
11515 11516 56
11516 11515 56
11516 11521 58
11521 11516 58
11520 11521 5
11521 11520 5
11531 397 53
397 49344 10
49344 49334 26
49334 11533 18
397 11531 53
49344 397 10
49334 49344 26
11533 49334 18
12213 12218 47
12218 12213 47
12215 12226 65
12226 12215 65
88935 12175 31
12175 12179 8
12179 58657 7
58657 12228 43
12175 88935 31
12179 12175 8
58657 12179 7
12228 58657 43
11634 42525 31
42525 11703 31
42525 11634 31
11703 42525 31
11702 11703 67
11703 11702 67
12086 58677 17
58677 30017 42
30017 12254 63
58677 12086 17
30017 58677 42
12254 30017 63
11703 42529 63
42529 42447 32
42447 11711 24
42529 11703 63
42447 42529 32
11711 42447 24
11533 62275 53
62275 49346 3
49346 20517 28
20517 710 8
710 42519 16
42519 42516 18
42516 11721 40
62275 11533 53
49346 62275 3
20517 49346 28
710 20517 8
42519 710 16
42516 42519 18
11721 42516 40
11711 87390 7
87390 11722 4
11722 87389 14
87389 11768 19
87390 11711 7
11722 87390 4
87389 11722 14
11768 87389 19
11749 59420 6
59420 59408 26
59408 11762 36
11762 35980 25
35980 35981 37
59420 11749 6
59408 59420 26
11762 59408 36
35980 11762 25
35981 35980 37
20515 11728 6
11728 72722 2
72722 11739 2
11739 11755 18
11755 11764 10
11764 72711 5
72711 72719 39
72719 72718 3
72718 11763 3
11763 20184 2
20184 72720 3
72720 11779 4
11728 20515 6
72722 11728 2
11739 72722 2
11755 11739 18
11764 11755 10
72711 11764 5
72719 72711 39
72718 72719 3
11763 72718 3
20184 11763 2
72720 20184 3
11779 72720 4
11762 11797 74
11797 11762 74
13507 13511 95
13511 13507 95
13032 13049 10
13049 13062 7
13062 13101 8
13101 13104 70
13049 13032 10
13062 13049 7
13101 13062 8
13104 13101 70
13100 37604 50
37604 13112 77
37604 13100 50
13112 37604 77
13093 13096 39
13096 13123 15
13123 24626 30
13096 13093 39
13123 13096 15
24626 13123 30
12924 42627 52
42627 75337 8
75337 12914 7
12914 38036 12
42627 12924 52
75337 42627 8
12914 75337 7
38036 12914 12
13194 42426 34
42426 42423 42
42423 13206 29
13206 13209 43
42426 13194 34
42423 42426 42
13206 42423 29
13209 13206 43
12752 24566 64
24566 12928 48
12928 12957 17
24566 12752 64
12928 24566 48
12957 12928 17
12954 12963 11
12963 12970 5
12970 12957 164
12963 12954 11
12970 12963 5
12957 12970 164
13084 13268 87
13268 13321 32
13268 13084 87
13321 13268 32
13325 13372 21
13372 49326 35
49326 13373 8
13372 13325 21
49326 13372 35
13373 49326 8
12952 12953 47
12953 12952 47
12758 24567 64
24567 56231 33
56231 12954 27
24567 12758 64
56231 24567 33
12954 56231 27
12953 56235 9
56235 42632 6
42632 12954 14
56235 12953 9
42632 56235 6
12954 42632 14
12758 73550 16
73550 12752 162
12752 12750 83
73550 12758 16
12752 73550 162
12750 12752 83
13202 13232 21
13232 13266 64
13266 13265 10
13232 13202 21
13266 13232 64
13265 13266 10
13268 13274 61
13274 13268 61
13142 13283 67
13283 13397 63
13397 13511 63
13511 13642 60
13642 13737 48
13737 13754 6
13754 13762 4
13762 13784 90
13283 13142 67
13397 13283 63
13511 13397 63
13642 13511 60
13737 13642 48
13754 13737 6
13762 13754 4
13784 13762 90
13283 13288 94
13288 13283 94
13142 13145 70
13145 59822 8
59822 59821 7
59821 13163 6
13163 13288 56
13288 13404 64
13404 13507 59
13507 13641 61
13641 13784 64
13145 13142 70
59822 13145 8
59821 59822 7
13163 59821 6
13288 13163 56
13404 13288 64
13507 13404 59
13641 13507 61
13784 13641 64
28982 70384 32
70384 28981 16
28981 28980 6
28980 13256 4
13256 13267 7
13267 13290 7
70384 28982 32
28981 70384 16
28980 28981 6
13256 28980 4
13267 13256 7
13290 13267 7
12952 79232 74
79232 12969 91
79232 12952 74
12969 79232 91
13073 42424 75
42424 13083 72
13083 13084 59
13084 13095 61
13095 24569 57
24569 13100 14
42424 13073 75
13083 42424 72
13084 13083 59
13095 13084 61
24569 13095 57
13100 24569 14
12761 42659 19
42659 19595 15
19595 42778 2
42778 42660 11
42660 42661 20
42661 12767 20
12767 12763 62
42659 12761 19
19595 42659 15
42778 19595 2
42660 42778 11
42661 42660 20
12767 42661 20
12763 12767 62
12953 24568 49
24568 12953 49
58437 12688 15
12688 12740 29
12740 12845 73
12845 12952 72
12952 13100 73
12688 58437 15
12740 12688 29
12845 12740 73
12952 12845 72
13100 12952 73
49142 18824 11
18824 49145 9
49145 63234 37
63234 49146 9
12610 20310 13
20310 12611 34
12611 63224 50
63224 12600 26
12606 12610 13
12601 63208 63
63208 12606 1
12578 21101 14
21101 12559 98
12582 12579 64
12586 12582 13
29626 12589 91
12589 24675 8
24675 12586 13
12578 12597 21
12610 12586 20
13398 13540 95
13540 47846 70
13398 51870 38
12903 47848 28
49151 49152 33
49152 12769 60
12769 62725 45
62725 12661 39
12661 63207 29
63207 29625 7
29625 12610 9
81519 24318 99
12597 29624 9
29624 63201 24
63201 12814 128
12814 12903 52
47848 13398 86
12586 19599 6
19599 63199 33
63199 12355 134
12355 62721 62
62721 12238 37
56577 12612 47
47852 80314 29
80314 80313 19
80313 12003 32
12003 62720 98
62720 43204 98
47851 11978 120
11978 80312 52
80312 80311 10
80311 43203 103
49155 12536 144
12536 19602 7
19602 12578 9
11329 25925 13
25925 11322 31
11322 20438 45
53730 10073 25
44075 10036 16
10036 29276 14
29276 28307 48
11027 71542 9
71542 39538 27
39538 39539 12
39539 11030 35
11030 71408 4
71408 11040 4
11040 11075 49
11075 71410 4
71410 11079 4
11079 71430 37
71430 11080 5
71542 11027 9
39538 71542 27
39539 39538 12
11030 39539 35
71408 11030 4
11040 71408 4
11075 11040 49
71410 11075 4
11079 71410 4
71430 11079 37
11080 71430 5
10112 80155 15
80155 72869 54
72869 10113 13
80155 10112 15
72869 80155 54
10113 72869 13
10381 10383 65
10383 10381 65
10323 27824 56
27824 10329 5
10329 27826 62
27826 10331 4
10331 53624 61
53624 27828 1
27828 10334 5
10334 53623 14
27824 10323 56
10329 27824 5
27826 10329 62
10331 27826 4
53624 10331 61
27828 53624 1
10334 27828 5
53623 10334 14
10533 10576 42
10576 10582 5
10582 10584 8
10576 10533 42
10582 10576 5
10584 10582 8
67866 10715 79
10715 67866 79
9944 92386 10
92386 9981 68
92386 9944 10
9981 92386 68
10334 29283 45
29283 10388 43
10388 27814 91
29283 10334 45
10388 29283 43
27814 10388 91
10930 38200 6
38200 52654 7
52654 19496 61
19496 11016 87
11016 11024 8
11024 11026 5
11026 52655 56
52655 38201 7
38201 11021 6
38200 10930 6
52654 38200 7
19496 52654 61
11016 19496 87
11024 11016 8
11026 11024 5
52655 11026 56
38201 52655 7
11021 38201 6
10937 71538 5
71538 71437 2
71437 71537 2
71537 71436 54
71436 67894 19
67894 71535 22
71535 11041 9
71538 10937 5
71437 71538 2
71537 71437 2
71436 71537 54
67894 71436 19
71535 67894 22
11041 71535 9
10397 71589 10
71589 10402 7
10402 53617 14
53617 10403 14
10403 54041 1
54041 54042 17
54042 53615 17
53615 54049 32
54049 10393 6
10393 10394 25
10394 10398 7
10398 10427 32
10427 10467 54
10467 27840 9
27840 27853 39
71589 10397 10
10402 71589 7
53617 10402 14
10403 53617 14
54041 10403 1
54042 54041 17
53615 54042 17
54049 53615 32
10393 54049 6
10394 10393 25
10398 10394 7
10427 10398 32
10467 10427 54
27840 10467 9
27853 27840 39
10391 10392 66
10392 53616 12
10392 10391 66
53616 10392 12
10908 10912 21
10912 67887 13
67887 68663 7
68663 68343 10
68343 10919 38
10919 68659 20
68659 68342 28
68342 68657 16
68657 10924 15
10924 10925 14
10925 68660 22
68660 72737 11
72737 10926 4
10926 10935 4
10912 10908 21
67887 10912 13
68663 67887 7
68343 68663 10
10919 68343 38
68659 10919 20
68342 68659 28
68657 68342 16
10924 68657 15
10925 10924 14
68660 10925 22
72737 68660 11
10926 72737 4
10935 10926 4
10839 68662 32
68662 10919 29
68662 10839 32
10919 68662 29
10843 10925 62
10925 10843 62
10192 10278 83
10278 10302 12
10302 10303 7
10278 10192 83
10302 10278 12
10303 10302 7
10439 53744 13
53744 17968 18
17968 10434 20
53744 10439 13
17968 53744 18
10434 17968 20
10206 10256 54
10256 10346 70
10256 10206 54
10346 10256 70
10340 52619 37
52619 10346 28
10346 52624 16
52624 52628 16
52628 52626 17
52626 52621 17
52621 10350 25
52619 10340 37
10346 52619 28
52624 10346 16
52628 52624 16
52626 52628 17
52621 52626 17
10350 52621 25
71590 54024 11
54024 54003 51
54003 53746 17
53746 54007 5
54007 53619 13
53619 10330 10
10330 10341 10
10341 53618 12
53618 53728 38
54024 71590 11
54003 54024 51
53746 54003 17
54007 53746 5
53619 54007 13
10330 53619 10
10341 10330 10
53618 10341 12
53728 53618 38
10196 10340 124
10340 10196 124
10186 27898 82
27898 10300 12
27898 10186 82
10300 27898 12
27837 27834 9
27834 54025 11
54025 27833 15
27833 54027 6
54027 27836 7
27836 27838 6
27838 27835 6
27835 10145 9
27834 27837 9
54025 27834 11
27833 54025 15
54027 27833 6
27836 54027 7
27838 27836 6
27835 27838 6
10145 27835 9
10279 10298 31
10298 10279 31
10251 10399 137
10399 10412 7
10412 10427 57
10399 10251 137
10412 10399 7
10427 10412 57
9988 10009 34
10009 10008 69
10009 9988 34
10008 10009 69
10053 52609 2
52609 32826 30
32826 52614 9
52614 19525 47
52609 10053 2
32826 52609 30
52614 32826 9
19525 52614 47
9945 19526 26
19526 67974 46
19526 9945 26
67974 19526 46
9981 10000 6
10000 88118 29
88118 10048 5
10000 9981 6
88118 10000 29
10048 88118 5
10688 54064 26
54064 10687 14
10687 54063 25
54063 10688 14
10688 10775 77
54064 10688 26
10687 54064 14
54063 10687 25
10688 54063 14
10775 10688 77
10677 80162 31
80162 67865 41
67865 10678 5
10678 10696 4
10696 80161 28
80161 10715 26
10715 67867 34
67867 10773 5
10773 10779 4
10779 10778 73
80162 10677 31
67865 80162 41
10678 67865 5
10696 10678 4
80161 10696 28
10715 80161 26
67867 10715 34
10773 67867 5
10779 10773 4
10778 10779 73
10769 67888 35
67888 67885 19
67885 10775 7
10775 67884 33
67884 71529 7
71529 67882 21
67882 67880 30
67880 71530 8
71530 67878 32
67878 10782 8
67888 10769 35
67885 67888 19
10775 67885 7
67884 10775 33
71529 67884 7
67882 71529 21
67880 67882 30
71530 67880 8
67878 71530 32
10782 67878 8
10752 10789 33
10789 10796 4
10796 10793 24
10789 10752 33
10796 10789 4
10793 10796 24
10812 10813 19
10813 93155 17
93155 93156 22
10813 10812 19
93155 10813 17
93156 93155 22
10064 88107 4
88107 10089 10
10089 10113 18
10113 72865 24
72865 80159 10
80159 10177 16
88107 10064 4
10089 88107 10
10113 10089 18
72865 10113 24
80159 72865 10
10177 80159 16
39495 39496 16
39496 9540 51
9540 28552 5
28552 45146 36
45146 18222 26
18222 52501 10
52501 28509 3
28509 9649 5
9649 52509 15
52509 9837 119
9837 45145 27
39496 39495 16
9540 39496 51
28552 9540 5
45146 28552 36
18222 45146 26
52501 18222 10
28509 52501 3
9649 28509 5
52509 9649 15
9837 52509 119
45145 9837 27
10107 10093 123
10093 88101 94
88101 10089 4
10008 9997 71
9997 10013 9
9997 10008 71
10013 9997 9
18517 10960 50
10960 41468 37
41468 10966 28
10966 10970 63
10960 18517 50
41468 10960 37
10966 41468 28
10970 10966 63
10966 11013 60
11013 49313 6
49313 11071 59
11013 10966 60
49313 11013 6
11071 49313 59
10836 10839 29
10839 71532 38
71532 68658 27
68658 10843 28
10839 10836 29
71532 10839 38
68658 71532 27
10843 68658 28
10635 41176 9
41176 71525 89
71525 71526 6
71526 71449 14
71449 10782 28
10782 67890 24
67890 10812 2
10812 10834 23
10834 71531 4
71531 10844 4
10844 10843 12
41176 10635 9
71525 41176 89
71526 71525 6
71449 71526 14
10782 71449 28
67890 10782 24
10812 67890 2
10834 10812 23
71531 10834 4
10844 71531 4
10843 10844 12
10912 67891 52
67891 69082 18
69082 71536 52
71536 11043 9
67891 10912 52
69082 67891 18
71536 69082 52
11043 71536 9
10924 68353 33
68353 69079 6
69079 10975 23
10975 10984 3
10984 10986 4
10986 68341 25
68341 69080 21
69080 68358 8
68358 10983 22
10983 10985 5
10985 10990 9
10990 69081 22
69081 11045 31
68353 10924 33
69079 68353 6
10975 69079 23
10984 10975 3
10986 10984 4
68341 10986 25
69080 68341 21
68358 69080 8
10983 68358 22
10985 10983 5
10990 10985 9
69081 10990 22
11045 69081 31
10879 18516 48
18516 10879 48
10766 38198 6
38198 52651 7
52651 10770 60
10770 10780 8
10780 10876 86
10876 10885 5
10885 10886 6
10886 52652 58
52652 38199 6
38199 10883 6
38198 10766 6
52651 38198 7
10770 52651 60
10780 10770 8
10876 10780 86
10885 10876 5
10886 10885 6
52652 10886 58
38199 52652 6
10883 38199 6
10485 10555 60
10555 18524 12
18524 10618 48
10618 18523 16
18523 10683 45
10683 18522 14
18522 10742 51
10742 10747 4
10747 52668 22
52668 10752 55
10752 10755 30
10555 10485 60
18524 10555 12
10618 18524 48
18523 10618 16
10683 18523 45
18522 10683 14
10742 18522 51
10747 10742 4
52668 10747 22
10752 52668 55
10755 10752 30
10636 38196 6
38196 10643 62
10643 10647 5
10647 10658 7
10658 10722 80
10722 10731 7
10731 10732 3
10732 38197 64
38197 10726 6
38196 10636 6
10643 38196 62
10647 10643 5
10658 10647 7
10722 10658 80
10731 10722 7
10732 10731 3
38197 10732 64
10726 38197 6
10773 27902 9
27902 10786 3
10786 53768 20
53768 62042 70
27902 10773 9
10786 27902 3
53768 10786 20
62042 53768 70
10645 71511 38
71511 10651 36
10651 54062 5
54062 10655 5
10655 10667 32
10667 41324 21
41324 23846 8
23846 71509 8
71509 10765 44
10765 10771 6
10771 10776 7
10776 10774 31
10774 10764 36
71511 10645 38
10651 71511 36
54062 10651 5
10655 54062 5
10667 10655 32
41324 10667 21
23846 41324 8
71509 23846 8
10765 71509 44
10771 10765 6
10776 10771 7
10774 10776 31
10764 10774 36
10586 10645 50
10645 71510 20
71510 39459 19
39459 41323 22
41323 23847 9
23847 71508 6
71508 10758 49
10758 27905 3
27905 10764 5
10645 10586 50
71510 10645 20
39459 71510 19
41323 39459 22
23847 41323 9
71508 23847 6
10758 71508 49
27905 10758 3
10764 27905 5
10567 93151 19
93151 93154 29
93154 10635 14
93151 10567 19
93154 93151 29
10635 93154 14
10567 10563 30
10563 10569 3
10569 72740 3
72740 10574 3
10574 10626 54
10563 10567 30
10569 10563 3
72740 10569 3
10574 72740 3
10626 10574 54
10618 51257 83
51257 18495 3
18495 10623 26
51257 10618 83
18495 51257 3
10623 18495 26
10864 10879 27
10879 41465 8
41465 10960 37
10879 10864 27
41465 10879 8
10960 41465 37
10251 54002 35
54002 10279 8
54002 10251 35
10279 54002 8
37322 10207 79
10207 10261 55
10207 37322 79
10261 10207 55
10256 10261 33
10261 10267 57
10261 10256 33
10267 10261 57
10952 69084 74
69084 11028 13
11028 39542 31
39542 11076 24
11076 11081 7
11081 71539 3
71539 11082 3
69084 10952 74
11028 69084 13
39542 11028 31
11076 39542 24
11081 11076 7
71539 11081 3
11082 71539 3
11080 27707 10
27707 71431 4
71431 11082 33
27707 11080 10
71431 27707 4
11082 71431 33
11080 71429 8
71429 11109 24
11109 11122 2
11122 11128 3
11128 72696 49
72696 11108 74
71429 11080 8
11109 71429 24
11122 11109 2
11128 11122 3
72696 11128 49
11108 72696 74
11028 11031 61
11031 69180 47
69180 69183 16
69183 69083 11
69083 69197 10
69197 71534 41
71534 68644 4
68644 11041 6
11041 17975 13
17975 11043 6
11043 71533 9
71533 68345 20
68345 69196 13
69196 11045 18
11045 69193 2
69193 68357 26
68357 69192 23
69192 69189 19
69189 68352 32
68352 11053 13
11053 69187 21
69187 11056 9
11056 11058 23
11058 72731 6
72731 11061 6
11061 11065 6
11065 72732 5
72732 72733 6
72733 11070 5
11070 68652 40
68652 11105 6
11105 72730 4
72730 68664 4
68664 72728 3
72728 11134 5
11134 68651 13
68651 11126 24
11031 11028 61
69180 11031 47
69183 69180 16
69083 69183 11
69197 69083 10
71534 69197 41
68644 71534 4
11041 68644 6
17975 11041 13
11043 17975 6
71533 11043 9
68345 71533 20
69196 68345 13
11045 69196 18
69193 11045 2
68357 69193 26
69192 68357 23
69189 69192 19
68352 69189 32
11053 68352 13
69187 11053 21
11056 69187 9
11058 11056 23
72731 11058 6
11061 72731 6
11065 11061 6
72732 11065 5
72733 72732 6
11070 72733 5
68652 11070 40
11105 68652 6
72730 11105 4
68664 72730 4
72728 68664 3
11134 72728 5
68651 11134 13
11126 68651 24
11082 24960 4
24960 11091 11
11091 71427 24
71427 93150 6
93150 11116 4
11116 11133 7
11133 71421 7
71421 71422 7
71422 71423 6
71423 71424 7
71424 71425 5
71425 71426 6
71426 71427 8
24960 11082 4
11091 24960 11
71427 11091 24
93150 71427 6
11116 93150 4
11133 11116 7
71421 11133 7
71422 71421 7
71423 71422 6
71424 71423 7
71425 71424 5
71426 71425 6
71427 71426 8
11151 46601 4
46601 41068 3
41068 41069 3
41069 18785 44
18785 11155 27
11155 63799 10
63799 87396 4
87396 11152 4
46601 11151 4
41068 46601 3
41069 41068 3
18785 41069 44
11155 18785 27
63799 11155 10
87396 63799 4
11152 87396 4
11374 11378 11
11378 11374 11
11126 68648 24
68648 36603 36
36603 11202 6
11202 11205 57
68648 11126 24
36603 68648 36
11202 36603 6
11205 11202 57
10182 27893 83
27893 10291 11
27893 10182 83
10291 27893 11
10178 29280 83
29280 10289 11
29280 10178 83
10289 29280 11
11282 16614 10
16614 77555 15
19171 71415 17
71415 41327 11
41327 71417 44
71417 71418 62
71418 11110 9
11110 11107 4
11107 17978 38
17978 11111 29
11111 11123 3
11123 71413 39
71413 11200 33
11200 71414 30
71414 11279 39
71415 19171 17
41327 71415 11
71417 41327 44
71418 71417 62
11110 71418 9
11107 11110 4
17978 11107 38
11111 17978 29
11123 11111 3
71413 11123 39
11200 71413 33
71414 11200 30
11279 71414 39
10935 72738 4
72738 10945 4
10945 72739 5
72739 68354 19
68354 68350 45
68350 11056 55
72738 10935 4
10945 72738 4
72739 10945 5
68354 72739 19
68350 68354 45
11056 68350 55
11202 64214 76
64214 11292 4
64214 11202 76
11292 64214 4
10267 38188 6
38188 10274 44
10274 10280 3
10280 46597 5
46597 10292 8
10292 10337 38
10337 38189 53
38189 10335 6
38188 10267 6
10274 38188 44
10280 10274 3
46597 10280 5
10292 46597 8
10337 10292 38
38189 10337 53
10335 38189 6
10239 10280 34
10280 10239 34
10152 54034 21
54034 53997 1
53997 10279 70
54034 10152 21
53997 54034 1
10279 53997 70
11462 42511 30
42511 11502 16
42511 11462 30
11502 42511 16
10189 10196 66
10196 10206 65
10206 10207 32
10196 10189 66
10206 10196 65
10207 10206 32
28367 10147 10
36586 18734 11
18734 59482 2
11378 59486 7
59486 59465 52
59465 11389 9
11389 11391 48
11391 11405 8
59486 11378 7
59465 59486 52
11389 59465 9
11391 11389 48
11405 11391 8
11401 11396 4
11396 11390 4
